Amblycercus holosericeus_Bambukasikki
Amblycorypha alexanderi_Clicker Round-winged Katydid
Amblycorypha longinicta_Common Virtuoso Katydid
Amblycorypha oblongifolia_Oblong-winged Katydid
Amblycorypha rotundifolia_Rattler Round-winged Katydid
Amblyornis inornata_Majalavastaja
Amblyornis newtoniana_Glden Bowerbird
Amblyospiza albifrons_Kekonokkakutoja
Amblyramphus holosericeus_Punahupputurpiaali
Ammodramus aurifrons_Keltanaamasirkkunen
Ammodramus humeralis_Ruohosirkkunen
Ammodramus savannarum_Heinäsirkkunen
Ammomanes cinctura_Pikkuaavikkokiuru
Ammomanes deserti_Aavikkokiuru
Ammomanes phoenicura_Intianaavikkokiuru
Ammonastes pelzelni_Harmaavatsamuura
Ammoperdix heyi_Aavikkopyy
Ammospiza caudacuta_Suippopyrstösirkkunen
Ammospiza leconteii_Luhtasirkkunen
Ammospiza maritima_Sarasirkkunen
Ammospiza nelsoni_Kosteikkosirkkunen
Ampelioides tschudii_Suomukotinga
Ampelion rubrocristatus_Punatupsukotinga
Ampelion rufaxilla_Rosvokotinga
Ampelornis griseiceps_Harmaapäämuura
Amphilais seebohmi_Gay Emutail
Amphispiza bilineata_Aavikkosirkku
Amphispiza quinquestriata_Kalliosirkkuli
Amphispizopsis quinquestriata_Five-striped Sparrow
Anabacerthia amaurotis_Valkotäpläorneero
Anabacerthia lichtensteini_Okraorneero
Anabacerthia ruficaudata_Punapyrstöorneero
Anabacerthia striaticollis_Vuoriorneero
Anabacerthia variegaticeps_Suomukurkkuorneero
Anabathmis newtonii_Keltarintamedestäjä
Anabathmis reichenbachii_Keltaperämedestäjä
Anabazenops dorsalis_Paksunokkaorneero
Anabazenops fuscus_Valkokaulusorneero
Anairetes alpinus_Vuoritöyhtönapsija
Anairetes fernandezianus_Juanfernandezinnapsija
Anairetes flavirostris_Kirjotöyhtönapsija
Anairetes nigrocristatus_Pitkätöyhtönapsija
Anairetes parulus_Kiharatöyhtönapsija
Anairetes reguloides_Töyhtönapsija
Anas acuta_jouhisorsa
Anas andium_pohjoisandientavi
Anas carolinensis_Amerikantavi
Anas castanea_australiantavi
Anas crecca_tavi
Anas diazi_Mxican Duck
Anas flavirostris_harmaatavi
Anas fulvigula_suolakkosorsa
Anas georgica_suippopyrstösorsa
Anas gracilis_suomutavi
Anas platyrhynchos_sinisorsa
Anas poecilorhyncha_täplänokkasorsa
Anas rubripes_nokisorsa
Anas superciliosa_juovanaamasorsa
Anas undulata_keltanokkasorsa
Anas wyvilliana_havaijinsorsa
Anas zonorhyncha_hymysorsa
Anastomus oscitans_aasianrakonokka
Anaxipha exigua_Say's Trig
Anaxyrus americanus_American Toad
Anaxyrus canorus_Yosemite Toad
Anaxyrus cognatus_Great Plains Toad
Anaxyrus fowleri_Fowler's Toad
Anaxyrus houstonensis_Houston Toad
Anaxyrus microscaphus_Arizona Toad
Anaxyrus quercicus_Oak Toad
Anaxyrus speciosus_Texas Toad
Anaxyrus terrestris_Southern Toad
Anaxyrus woodhousii_Woodhouse's Toad
Ancistrops strigilatus_hakanokkaorneero
Andigena hypoglauca_andienvuoritukaani
Andigena laminirostris_kultakuvetukaani
Andigena nigrirostris_valkokaulatukaani
Androdon aequatorialis_hammasnokkakolibri
Andropadus importunus_Pensasbulbuli
Anhima cornuta_Sarviromisko
Anhinga anhinga_amerikankäärmekaula
Anhinga melanogaster_käärmekaula
Anhinga novaehollandiae_australiankäärmekaula
Anisognathus igniventris_Scarlet-bellied Mountain Tanager
Anisognathus lacrymosus_Lacrimose Mountain Tanager
Anisognathus notabilis_Keltahedelmätangara
Anisognathus somptuosus_Viheltäjätangara
Anodorhynchus hyacinthinus_Hyasinttiara
Anodorhynchus leari_Indigoara
Anorrhinus galeritus_Harjasarvinokka
Anorrhinus tickelli_Ruostesarvinokka
Anous ceruleus_Blue-gray Noddy
Anous minutus_tummaruskotiira
Anous stolidus_ruskotiira
Anous tenuirostris_pikkuruskotiira
