Amblycorypha alexanderi_Clicker Round-winged Katydid
Amblycorypha longinicta_Common Virtuoso Katydid
Amblycorypha oblongifolia_Oblong-winged Katydid
Amblycorypha rotundifolia_Rattler Round-winged Katydid
Amblyornis inornata_Leemčík prostý
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_Peřádelník dlasčí
Amblyramphus holosericeus_Velhovec červenohlavý
Ammodramus aurifrons_Setrnadec zlatobrvý
Ammodramus humeralis_Setrnadec savanový
Ammodramus savannarum_Setrnadec pustinný
Ammomanes cinctura_skřivan pruhoocasý
Ammomanes deserti_skřivan pouštní
Ammomanes phoenicura_Sekřivan rehkovitý
Ammonastes pelzelni_Meravenčík plavoskvrnný
Ammoperdix heyi_Keoroptev arabská
Ammospiza caudacuta_Setrnadec ostrochvostý
Ammospiza leconteii_Setrnadec Le Conteův
Ammospiza maritima_Setrnadec pobřežní
Ammospiza nelsoni_Setrnadec Nelsonův
Ampelioides tschudii_Keotinga šupinkatá
Ampelion rubrocristatus_Keotinga červenochocholkatá
Ampelion rufaxilla_Keotinga rezavochocholatá
Ampelornis griseiceps_Meravenčík šedohlavý
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_Setrnádka černohrdlá
Amphispiza quinquestriata_Setrnádka pětipruhá
Amphispizopsis quinquestriata_Five-striped Sparrow
Anabacerthia amaurotis_Hernčiřík jihobrazilský
Anabacerthia lichtensteini_Hernčiřík šedotemenný
Anabacerthia ruficaudata_Hernčiřík rezavoocasý
Anabacerthia striaticollis_Hernčiřík subtropický
Anabacerthia variegaticeps_Hernčiřík skořicovobrvý
Anabathmis newtonii_Setrdimil žlutoprsý
Anabathmis reichenbachii_Setrdimil žlutoskvrný
Anabazenops dorsalis_Hernčiřík bambusový
Anabazenops fuscus_Hernčiřík obojkový
Anairetes alpinus_Teyrančík velehorský
Anairetes fernandezianus_Teyrančík fernandezský
Anairetes flavirostris_Teyrančík žlutozobý
Anairetes nigrocristatus_Teyrančík černochocholatý
Anairetes parulus_Teyrančík kadeřavý
Anairetes reguloides_Teyrančík parukář
Anas acuta_ostralka štíhlá
Anas andium_čírka andská
Anas carolinensis_Čeírka karolinská
Anas castanea_čírka kaštanová
Anas crecca_čírka obecná
Anas diazi_kachna mexická
Anas flavirostris_čírka kropenatá
Anas fulvigula_kachna pobřežní
Anas georgica_ostralka žlutozobá
Anas gracilis_čírka bělohrdlá
Anas platyrhynchos_kachna divoká
Anas poecilorhyncha_kachna skvrnozobá
Anas rubripes_kachna tmavá
Anas superciliosa_kachna pruhohlavá
Anas undulata_kachna žlutozobá
Anas wyvilliana_kachna havajská
Anas zonorhyncha_kachna čínská
Anastomus oscitans_zejozob asijský
Anaxipha exigua_Say's Trig
Anaxyrus americanus_American Toad
Anaxyrus canorus_Yosemite Toad
Anaxyrus cognatus_Great Plains Toad
Anaxyrus fowleri_Fowler's Toad
Anaxyrus houstonensis_Houston Toad
Anaxyrus microscaphus_Arizona Toad
Anaxyrus quercicus_Oak Toad
Anaxyrus speciosus_Texas Toad
Anaxyrus terrestris_Southern Toad
